2.      Creating RBMs
34.---v  		Epoch: 32 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0333 
34.---^  		Epoch: 32 / 50 (took 3.51 sek)
35.---v  		Epoch: 33 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0339 
35.---^  		Epoch: 33 / 50 (took 3.431 sek)
36.---v  		Epoch: 34 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0337 
36.---^  		Epoch: 34 / 50 (took 3.404 sek)
37.---v  		Epoch: 35 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0333 
37.---^  		Epoch: 35 / 50 (took 3.418 sek)
38.---v  		Epoch: 36 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0327 
38.---^  		Epoch: 36 / 50 (took 3.401 sek)
39.---v  		Epoch: 37 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0336 
39.---^  		Epoch: 37 / 50 (took 3.52 sek)
40.---v  		Epoch: 38 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0327 
40.---^  		Epoch: 38 / 50 (took 3.435 sek)
41.---v  		Epoch: 39 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0334 
41.---^  		Epoch: 39 / 50 (took 3.458 sek)
42.---v  		Epoch: 40 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0337 
42.---^  		Epoch: 40 / 50 (took 3.436 sek)
43.---v  		Epoch: 41 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0336 
43.---^  		Epoch: 41 / 50 (took 3.395 sek)
44.---v  		Epoch: 42 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0329 
44.---^  		Epoch: 42 / 50 (took 3.492 sek)
45.---v  		Epoch: 43 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0324 
45.---^  		Epoch: 43 / 50 (took 3.531 sek)
46.---v  		Epoch: 44 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0329 
46.---^  		Epoch: 44 / 50 (took 3.463 sek)
47.---v  		Epoch: 45 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0322 
47.---^  		Epoch: 45 / 50 (took 3.531 sek)
48.---v  		Epoch: 46 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0328 
48.---^  		Epoch: 46 / 50 (took 3.405 sek)
49.---v  		Epoch: 47 / 50
Info     			Learnrate: 0.01 
Info     			error 0.033 
49.---^  		Epoch: 47 / 50 (took 3.429 sek)
50.---v  		Epoch: 48 / 50
Info     			Learnrate: 0.01 
Info     			error 0.033 
50.---^  		Epoch: 48 / 50 (took 3.517 sek)
51.---v  		Epoch: 49 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0328 
51.---^  		Epoch: 49 / 50 (took 3.494 sek)
52.---v  		Epoch: 50 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0323 
52.---^  		Epoch: 50 / 50 (took 3.503 sek)
2.--^   	Pretraining  1. RBM (took 173.498 sek)
53.--v   	Pretraining  2. RBM
54.---v  		Epoch: 1 / 50
Info     			Learnrate: 0.01 
Info     			error 0.065 
54.---^  		Epoch: 1 / 50 (took 1.905 sek)
55.---v  		Epoch: 2 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0558 
55.---^  		Epoch: 2 / 50 (took 1.891 sek)
56.---v  		Epoch: 3 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0507 
56.---^  		Epoch: 3 / 50 (took 1.892 sek)
57.---v  		Epoch: 4 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0502 
57.---^  		Epoch: 4 / 50 (took 1.91 sek)
58.---v  		Epoch: 5 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0486 
58.---^  		Epoch: 5 / 50 (took 1.886 sek)
59.---v  		Epoch: 6 / 50
Info     			Learnrate: 0.01 
Info     			error 0.046 
59.---^  		Epoch: 6 / 50 (took 1.907 sek)
60.---v  		Epoch: 7 / 50
Info     			Learnrate: 0.01 
Info     			error 0.047 
60.---^  		Epoch: 7 / 50 (took 1.891 sek)
61.---v  		Epoch: 8 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0464 
61.---^  		Epoch: 8 / 50 (took 1.902 sek)
62.---v  		Epoch: 9 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0454 
62.---^  		Epoch: 9 / 50 (took 1.898 sek)
63.---v  		Epoch: 10 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0456 
63.---^  		Epoch: 10 / 50 (took 1.884 sek)
64.---v  		Epoch: 11 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0449 
64.---^  		Epoch: 11 / 50 (took 1.891 sek)
65.---v  		Epoch: 12 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0465 
65.---^  		Epoch: 12 / 50 (took 1.904 sek)
66.---v  		Epoch: 13 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0454 
66.---^  		Epoch: 13 / 50 (took 1.905 sek)
67.---v  		Epoch: 14 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0453 
67.---^  		Epoch: 14 / 50 (took 2.043 sek)
68.---v  		Epoch: 15 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0446 
68.---^  		Epoch: 15 / 50 (took 1.964 sek)
69.---v  		Epoch: 16 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0447 
69.---^  		Epoch: 16 / 50 (took 1.902 sek)
70.---v  		Epoch: 17 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0464 
70.---^  		Epoch: 17 / 50 (took 1.904 sek)
71.---v  		Epoch: 18 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0455 
71.---^  		Epoch: 18 / 50 (took 1.904 sek)
72.---v  		Epoch: 19 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0446 
72.---^  		Epoch: 19 / 50 (took 1.904 sek)
73.---v  		Epoch: 20 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0436 
73.---^  		Epoch: 20 / 50 (took 1.907 sek)
74.---v  		Epoch: 21 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0448 
74.---^  		Epoch: 21 / 50 (took 1.899 sek)
75.---v  		Epoch: 22 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0448 
75.---^  		Epoch: 22 / 50 (took 1.9 sek)
76.---v  		Epoch: 23 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0431 
76.---^  		Epoch: 23 / 50 (took 1.906 sek)
77.---v  		Epoch: 24 / 50
Info     			Learnrate: 0.01 
Info     			error 0.043 
77.---^  		Epoch: 24 / 50 (took 1.901 sek)
78.---v  		Epoch: 25 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0434 
78.---^  		Epoch: 25 / 50 (took 1.904 sek)
79.---v  		Epoch: 26 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0436 
79.---^  		Epoch: 26 / 50 (took 1.908 sek)
80.---v  		Epoch: 27 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0428 
80.---^  		Epoch: 27 / 50 (took 1.895 sek)
81.---v  		Epoch: 28 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0441 
81.---^  		Epoch: 28 / 50 (took 1.95 sek)
82.---v  		Epoch: 29 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0439 
82.---^  		Epoch: 29 / 50 (took 1.954 sek)
83.---v  		Epoch: 30 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0438 
83.---^  		Epoch: 30 / 50 (took 1.893 sek)
84.---v  		Epoch: 31 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0434 
84.---^  		Epoch: 31 / 50 (took 1.901 sek)
85.---v  		Epoch: 32 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0455 
85.---^  		Epoch: 32 / 50 (took 1.928 sek)
86.---v  		Epoch: 33 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0435 
86.---^  		Epoch: 33 / 50 (took 1.906 sek)
87.---v  		Epoch: 34 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0429 
87.---^  		Epoch: 34 / 50 (took 1.915 sek)
88.---v  		Epoch: 35 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0433 
88.---^  		Epoch: 35 / 50 (took 1.899 sek)
89.---v  		Epoch: 36 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0434 
89.---^  		Epoch: 36 / 50 (took 1.896 sek)
90.---v  		Epoch: 37 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0438 
90.---^  		Epoch: 37 / 50 (took 1.89 sek)
91.---v  		Epoch: 38 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0429 
91.---^  		Epoch: 38 / 50 (took 1.906 sek)
92.---v  		Epoch: 39 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0437 
92.---^  		Epoch: 39 / 50 (took 1.894 sek)
93.---v  		Epoch: 40 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0435 
93.---^  		Epoch: 40 / 50 (took 1.901 sek)
94.---v  		Epoch: 41 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0431 
94.---^  		Epoch: 41 / 50 (took 1.907 sek)
95.---v  		Epoch: 42 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0437 
95.---^  		Epoch: 42 / 50 (took 1.901 sek)
96.---v  		Epoch: 43 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0436 
96.---^  		Epoch: 43 / 50 (took 1.906 sek)
97.---v  		Epoch: 44 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0447 
97.---^  		Epoch: 44 / 50 (took 1.892 sek)
98.---v  		Epoch: 45 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0439 
98.---^  		Epoch: 45 / 50 (took 1.897 sek)
99.---v  		Epoch: 46 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0455 
99.---^  		Epoch: 46 / 50 (took 1.906 sek)
100.---v  		Epoch: 47 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0428 
100.---^  		Epoch: 47 / 50 (took 1.903 sek)
101.---v  		Epoch: 48 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0442 
101.---^  		Epoch: 48 / 50 (took 1.9 sek)
102.---v  		Epoch: 49 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0436 
102.---^  		Epoch: 49 / 50 (took 1.897 sek)
103.---v  		Epoch: 50 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0443 
103.---^  		Epoch: 50 / 50 (took 1.909 sek)
53.--^   	Pretraining  2. RBM (took 95.409 sek)
104.--v   	Pretraining  3. RBM
105.---v  		Epoch: 1 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1296 
105.---^  		Epoch: 1 / 50 (took 1.664 sek)
106.---v  		Epoch: 2 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1036 
106.---^  		Epoch: 2 / 50 (took 1.642 sek)
107.---v  		Epoch: 3 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0986 
107.---^  		Epoch: 3 / 50 (took 1.647 sek)
108.---v  		Epoch: 4 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0922 
108.---^  		Epoch: 4 / 50 (took 1.642 sek)
109.---v  		Epoch: 5 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0896 
109.---^  		Epoch: 5 / 50 (took 1.64 sek)
110.---v  		Epoch: 6 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0828 
110.---^  		Epoch: 6 / 50 (took 1.623 sek)
111.---v  		Epoch: 7 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0882 
111.---^  		Epoch: 7 / 50 (took 1.633 sek)
112.---v  		Epoch: 8 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0851 
112.---^  		Epoch: 8 / 50 (took 1.646 sek)
113.---v  		Epoch: 9 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0805 
113.---^  		Epoch: 9 / 50 (took 1.619 sek)
114.---v  		Epoch: 10 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0823 
114.---^  		Epoch: 10 / 50 (took 1.645 sek)
115.---v  		Epoch: 11 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0815 
115.---^  		Epoch: 11 / 50 (took 1.633 sek)
116.---v  		Epoch: 12 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0799 
116.---^  		Epoch: 12 / 50 (took 1.625 sek)
117.---v  		Epoch: 13 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0802 
117.---^  		Epoch: 13 / 50 (took 1.645 sek)
118.---v  		Epoch: 14 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0787 
118.---^  		Epoch: 14 / 50 (took 1.64 sek)
119.---v  		Epoch: 15 / 50
Info     			Learnrate: 0.01 
Info     			error 0.08 
119.---^  		Epoch: 15 / 50 (took 1.651 sek)
120.---v  		Epoch: 16 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0832 
120.---^  		Epoch: 16 / 50 (took 1.629 sek)
121.---v  		Epoch: 17 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0754 
121.---^  		Epoch: 17 / 50 (took 1.639 sek)
122.---v  		Epoch: 18 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0768 
122.---^  		Epoch: 18 / 50 (took 1.632 sek)
123.---v  		Epoch: 19 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0739 
123.---^  		Epoch: 19 / 50 (took 1.646 sek)
124.---v  		Epoch: 20 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0774 
124.---^  		Epoch: 20 / 50 (took 1.636 sek)
125.---v  		Epoch: 21 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0785 
125.---^  		Epoch: 21 / 50 (took 1.641 sek)
126.---v  		Epoch: 22 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0804 
126.---^  		Epoch: 22 / 50 (took 1.637 sek)
127.---v  		Epoch: 23 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0784 
127.---^  		Epoch: 23 / 50 (took 1.638 sek)
128.---v  		Epoch: 24 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0766 
128.---^  		Epoch: 24 / 50 (took 1.629 sek)
129.---v  		Epoch: 25 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0767 
129.---^  		Epoch: 25 / 50 (took 1.639 sek)
130.---v  		Epoch: 26 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0764 
130.---^  		Epoch: 26 / 50 (took 1.628 sek)
131.---v  		Epoch: 27 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0812 
131.---^  		Epoch: 27 / 50 (took 1.654 sek)
132.---v  		Epoch: 28 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0744 
132.---^  		Epoch: 28 / 50 (took 1.632 sek)
133.---v  		Epoch: 29 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0771 
133.---^  		Epoch: 29 / 50 (took 1.639 sek)
134.---v  		Epoch: 30 / 50
Info     			Learnrate: 0.01 
Info     			error 0.08 
134.---^  		Epoch: 30 / 50 (took 1.638 sek)
135.---v  		Epoch: 31 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0766 
135.---^  		Epoch: 31 / 50 (took 1.628 sek)
136.---v  		Epoch: 32 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0791 
136.---^  		Epoch: 32 / 50 (took 1.645 sek)
137.---v  		Epoch: 33 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0765 
137.---^  		Epoch: 33 / 50 (took 1.646 sek)
138.---v  		Epoch: 34 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0763 
138.---^  		Epoch: 34 / 50 (took 1.639 sek)
139.---v  		Epoch: 35 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0791 
139.---^  		Epoch: 35 / 50 (took 1.65 sek)
140.---v  		Epoch: 36 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0773 
140.---^  		Epoch: 36 / 50 (took 1.633 sek)
141.---v  		Epoch: 37 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0765 
141.---^  		Epoch: 37 / 50 (took 1.647 sek)
142.---v  		Epoch: 38 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0781 
142.---^  		Epoch: 38 / 50 (took 1.654 sek)
143.---v  		Epoch: 39 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0764 
143.---^  		Epoch: 39 / 50 (took 1.63 sek)
144.---v  		Epoch: 40 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0762 
144.---^  		Epoch: 40 / 50 (took 1.898 sek)
145.---v  		Epoch: 41 / 50
Info     			Learnrate: 0.01 
Info     			error 0.076 
145.---^  		Epoch: 41 / 50 (took 1.741 sek)
146.---v  		Epoch: 42 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0743 
146.---^  		Epoch: 42 / 50 (took 1.635 sek)
147.---v  		Epoch: 43 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0762 
147.---^  		Epoch: 43 / 50 (took 1.633 sek)
148.---v  		Epoch: 44 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0751 
148.---^  		Epoch: 44 / 50 (took 1.629 sek)
149.---v  		Epoch: 45 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0769 
149.---^  		Epoch: 45 / 50 (took 1.632 sek)
150.---v  		Epoch: 46 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0753 
150.---^  		Epoch: 46 / 50 (took 1.636 sek)
151.---v  		Epoch: 47 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0747 
151.---^  		Epoch: 47 / 50 (took 1.636 sek)
152.---v  		Epoch: 48 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0774 
152.---^  		Epoch: 48 / 50 (took 1.637 sek)
153.---v  		Epoch: 49 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0785 
153.---^  		Epoch: 49 / 50 (took 1.647 sek)
154.---v  		Epoch: 50 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0772 
154.---^  		Epoch: 50 / 50 (took 1.647 sek)
104.--^   	Pretraining  3. RBM (took 82.351 sek)
155.--v   	Pretraining  4. RBM
156.---v  		Epoch: 1 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1636 
156.---^  		Epoch: 1 / 50 (took 1.425 sek)
157.---v  		Epoch: 2 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1356 
157.---^  		Epoch: 2 / 50 (took 1.389 sek)
158.---v  		Epoch: 3 / 50
Info     			Learnrate: 0.01 
Info     			error 0.135 
158.---^  		Epoch: 3 / 50 (took 1.388 sek)
159.---v  		Epoch: 4 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1328 
159.---^  		Epoch: 4 / 50 (took 1.404 sek)
160.---v  		Epoch: 5 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1339 
160.---^  		Epoch: 5 / 50 (took 1.397 sek)
161.---v  		Epoch: 6 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1303 
161.---^  		Epoch: 6 / 50 (took 1.439 sek)
162.---v  		Epoch: 7 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1288 
162.---^  		Epoch: 7 / 50 (took 1.479 sek)
163.---v  		Epoch: 8 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1319 
163.---^  		Epoch: 8 / 50 (took 1.398 sek)
164.---v  		Epoch: 9 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1297 
164.---^  		Epoch: 9 / 50 (took 1.401 sek)
165.---v  		Epoch: 10 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1267 
165.---^  		Epoch: 10 / 50 (took 1.414 sek)
166.---v  		Epoch: 11 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1314 
166.---^  		Epoch: 11 / 50 (took 1.387 sek)
167.---v  		Epoch: 12 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1301 
167.---^  		Epoch: 12 / 50 (took 1.406 sek)
168.---v  		Epoch: 13 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1274 
168.---^  		Epoch: 13 / 50 (took 1.39 sek)
169.---v  		Epoch: 14 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1237 
169.---^  		Epoch: 14 / 50 (took 1.388 sek)
170.---v  		Epoch: 15 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1284 
170.---^  		Epoch: 15 / 50 (took 1.394 sek)
171.---v  		Epoch: 16 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1285 
171.---^  		Epoch: 16 / 50 (took 1.401 sek)
172.---v  		Epoch: 17 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1269 
172.---^  		Epoch: 17 / 50 (took 1.412 sek)
173.---v  		Epoch: 18 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1355 
173.---^  		Epoch: 18 / 50 (took 1.413 sek)
174.---v  		Epoch: 19 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1321 
174.---^  		Epoch: 19 / 50 (took 1.407 sek)
175.---v  		Epoch: 20 / 50
Info     			Learnrate: 0.01 
Info     			error 0.129 
175.---^  		Epoch: 20 / 50 (took 1.395 sek)
176.---v  		Epoch: 21 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1294 
176.---^  		Epoch: 21 / 50 (took 1.405 sek)
177.---v  		Epoch: 22 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1232 
177.---^  		Epoch: 22 / 50 (took 1.408 sek)
178.---v  		Epoch: 23 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1331 
178.---^  		Epoch: 23 / 50 (took 1.385 sek)
179.---v  		Epoch: 24 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1302 
179.---^  		Epoch: 24 / 50 (took 1.407 sek)
180.---v  		Epoch: 25 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1255 
180.---^  		Epoch: 25 / 50 (took 1.407 sek)
181.---v  		Epoch: 26 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1329 
181.---^  		Epoch: 26 / 50 (took 1.396 sek)
182.---v  		Epoch: 27 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1313 
182.---^  		Epoch: 27 / 50 (took 1.398 sek)
183.---v  		Epoch: 28 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1273 
183.---^  		Epoch: 28 / 50 (took 1.399 sek)
184.---v  		Epoch: 29 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1281 
184.---^  		Epoch: 29 / 50 (took 1.391 sek)
185.---v  		Epoch: 30 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1253 
185.---^  		Epoch: 30 / 50 (took 1.411 sek)
186.---v  		Epoch: 31 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1294 
186.---^  		Epoch: 31 / 50 (took 1.395 sek)
187.---v  		Epoch: 32 / 50
Info     			Learnrate: 0.01 
Info     			error 0.126 
187.---^  		Epoch: 32 / 50 (took 1.395 sek)
188.---v  		Epoch: 33 / 50
Info     			Learnrate: 0.01 
Info     			error 0.1316 
188.---^  		Epoch: 33 / 50 (took 1.4 sek)
189.---v  		Epoch: 34 / 50
Info     			Learnrate: 0.01 
